question,category,subcategory
عايز اعرف ازاي نسبة ضريبة القيمة المضافة كام؟,Taxes,vat
فين اروح علشان رسوم القيد العائلي كام؟,Civil Affairs,family_record
انا تايه، عايز اعرف اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,divorce_certificate
ممكن تقولي ازاي اترجم قسيمة الطلاق رسمي؟,Personal Status,divorce_certificate
فين اروح علشان اترجم قسيمة الزواج رسمي؟,Personal Status,marriage_certificate
فين اروح علشان انقل ملكية موتوسيكل ازاي؟,Traffic,vehicle_registration
عايز اعرف ازاي الكشف الطبي لرخصة القيادة بيتعمل فين؟,Traffic,driving_license
ينفع اطلع ايصال دفع مخالفة مرور؟,Traffic,traffic_violations
ينفع غرامة التأخير في سداد القيمة المضافة كام؟,Taxes,vat
عايز اعرف رسوم شهادة الوفاة كام؟,Civil Affairs,death_certificate
هعمل ايه علشان القيمة المضافة بتتحصل على ايه بالظبط؟,Taxes,vat
لو سمحت عايز اعرف اسجل نفسي في مصلحة الضرائب؟,Taxes,tax_registration
عايز اعرف اعدل بيانات في القيد الفردي؟,Civil Affairs,individual_record
ينفع اقدم الاقرار الضريبي السنوي؟,Taxes,tax_return
عايز اعرف ازاي استخرج البطاقة الضريبية اونلاين؟,Taxes,tax_card
عايز اعرف المستندات المطلوبة لاستخراج القيد العائلي؟,Civil Affairs,family_record
هعمل ايه علشان اعدل بيانات غلط في قسيمة الزواج؟,Personal Status,marriage_certificate
انا محتاج المستندات المطلوبة للتسجيل في القيمة المضافة؟,Taxes,vat
انا محتاج اطلع بطاقة ضريبية لمنشأة جديدة؟,Taxes,tax_card
ينفع اطلع بدل فاقد للبطاقة الضريبية؟,Taxes,tax_card
انا تايه، عايز اعرف اقدم على البطاقة القومي اونلاين؟,Civil Affairs,national_id
انا تايه، عايز اعرف اعدل بيانات التسجيل الضريبي؟,Taxes,tax_registration
انا تايه، عايز اعرف مدة استخراج البطاقة القومي بتاخد قد ايه؟,Civil Affairs,national_id
ممكن حد يفهمني اعدل بيانات في رخصة المركبة؟,Traffic,vehicle_license
انا محتاج رخصة القيادة بتاخد وقت قد ايه؟,Traffic,driving_license
هعمل ايه علشان استخرج القيد العائلي اونلاين؟,Civil Affairs,family_record
ممكن تقولي ازاي الحالة الاجتماعية في القيد مش مطابقة اعمل ايه؟,Personal Status,social_status
عايز اعرف ازاي ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,income_tax
عايز اعرف استرد ضريبة القيمة المضافة؟,Taxes,vat
عايز اعرف ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,income_tax
ممكن حد يفهمني المستندات المطلوبة للتسجيل في القيمة المضافة؟,Taxes,vat
ممكن تقولي ازاي رسوم تسجيل المركبة كام؟,Traffic,vehicle_registration
ممكن تقولي ازاي اطلع بدل فاقد لرخصة القيادة؟,Traffic,driving_license
انا محتاج قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,divorce_certificate
عايز اعرف ازاي اضيف مولود على القيد العائلي؟,Civil Affairs,family_record
انا تايه، عايز اعرف المستندات المطلوبة للقيد الفردي؟,Civil Affairs,individual_record
انا محتاج غرامة تأخير الاقرار الضريبي كام؟,Taxes,tax_return
انا تايه، عايز اعرف الفاتورة الالكترونية علاقتها بالقيمة المضافة ايه؟,Taxes,vat
لو سمحت عايز اعرف خطوات تجديد الرخصة اونلاين ايه؟,Traffic,renewal
هعمل ايه علشان استخرج رخصة سيارتي الجديدة؟,Traffic,vehicle_license
انا تايه، عايز اعرف المستندات المطلوبة لتسجيل المركبة؟,Traffic,vehicle_registration
فين اروح علشان رسوم شهادة الوفاة كام؟,Civil Affairs,death_certificate
فين اروح علشان القيد الفردي بيتطلب مدة قد ايه؟,Civil Affairs,individual_record
عايز اعرف ازاي اطلع ايصال دفع مخالفة مرور؟,Traffic,traffic_violations
ينفع خطوات تجديد الرخصة اونلاين ايه؟,Traffic,renewal
انا محتاج اجدد رخصة القيادة بعد ما خلصت؟,Traffic,driving_license
فين اروح علشان مدة سقوط مخالفة المرور كام؟,Traffic,traffic_violations
هعمل ايه علشان اعدل بيانات في شهادة الميلاد؟,Civil Affairs,birth_certificate
عايز اعرف ازاي المستندات المطلوبة لتغيير الحالة الاجتماعية؟,Personal Status,social_status
عايز اعرف المستندات المطلوبة لقسيمة الزواج؟,Personal Status,marriage_certificate
عايز اعرف ازاي اطلع قسيمة الزواج من مأذون تاني محافظة؟,Personal Status,marriage_certificate
هعمل ايه علشان اترجم قسيمة الزواج رسمي؟,Personal Status,marriage_certificate
لو سمحت عايز اعرف افسخ تسجيل عربية قديمة؟,Traffic,vehicle_registration
ينفع رسوم تسجيل المركبة كام؟,Traffic,vehicle_registration
فين اروح علشان التسجيل الضريبي فرق ايه عن البطاقة الضريبية؟,Taxes,tax_registration
عايز اعرف استخرج بطاقة الرقم القومي لأول مرة؟,Civil Affairs,national_id
فين اروح علشان اعدل بيانات التسجيل الضريبي؟,Taxes,tax_registration
لو سمحت عايز اعرف اطلع قسيمة طلاق قديمة من الارشيف؟,Personal Status,divorce_certificate
لو سمحت عايز اعرف اعدل الاقرار الضريبي بعد التقديم؟,Taxes,tax_return
هعمل ايه علشان احول رخصة قيادة اجنبية لمصرية؟,Traffic,driving_license
عايز اعرف ازاي اقدم اقرار القيمة المضافة الشهري؟,Taxes,vat
ممكن تقولي ازاي اقدم اقرار ضريبي صفري؟,Taxes,tax_return
ممكن تقولي ازاي اسجل شركتي الجديدة ضريبيا؟,Taxes,tax_registration
عايز اعرف تحديث الحالة الاجتماعية بياخد قد ايه؟,Personal Status,social_status
هعمل ايه علشان اسجل نشاطي التجاري في الضرائب؟,Taxes,tax_registration
فين اروح علشان اعدل بيانات في رخصة القيادة؟,Traffic,driving_license
عايز اعرف شروط اتمام عقد الزواج للمصريين في الخارج؟,Personal Status,marriage
لو سمحت عايز اعرف احسب ضريبة الدخل على مرتبي؟,Taxes,income_tax
انا تايه، عايز اعرف استخرج قسيمة الطلاق؟,Personal Status,divorce_certificate
انا تايه، عايز اعرف اعدل بيانات غلط في قسيمة الزواج؟,Personal Status,marriage_certificate
انا محتاج اطلع شهادة ميلاد لشخص متوفي؟,Civil Affairs,birth_certificate
انا تايه، عايز اعرف مدة سقوط مخالفة المرور كام؟,Traffic,traffic_violations
ممكن حد يفهمني افتح ملف ضريبي لنشاط حر؟,Taxes,tax_registration
ممكن حد يفهمني اعترض على ربط ضريبة الدخل؟,Taxes,income_tax
فين اروح علشان رسوم البطاقة الضريبية كام؟,Taxes,tax_card
هعمل ايه علشان المستندات المطلوبة للاقرار الضريبي؟,Taxes,tax_return
عايز اعرف ازاي اجدد الرخصة لمركبة نقل؟,Traffic,renewal
هعمل ايه علشان اطلق مراتي رسمي ازاي؟,Personal Status,divorce
ممكن حد يفهمني استخرج قسيمة الطلاق؟,Personal Status,divorce_certificate
فين اروح علشان رسوم التسجيل الضريبي كام؟,Taxes,tax_registration
انا تايه، عايز اعرف اوثق عقد جواز اونلاين؟,Personal Status,marriage
عايز اعرف استخرج قيد فردي اونلاين؟,Civil Affairs,individual_record
ممكن حد يفهمني اجدد بطاقة الرقم القومي بتاعتي؟,Civil Affairs,national_id
انا تايه، عايز اعرف استخرج قسيمة الزواج؟,Personal Status,marriage_certificate
ممكن تقولي ازاي المستندات المطلوبة لقسيمة الطلاق؟,Personal Status,divorce_certificate
انا تايه، عايز اعرف اعفاءات ضريبة القيمة المضافة على السلع؟,Taxes,vat
ينفع رسوم رخصة القيادة كام؟,Traffic,driving_license
ينفع اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,individual_record
عايز اعرف ازاي اسجل عربية جديدة في المرور؟,Traffic,vehicle_registration
عايز اعرف افرق بين ضريبة الدخل والضريبة على الارباح؟,Taxes,income_tax
انا محتاج اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,divorce_certificate
ممكن حد يفهمني اترجم قسيمة الزواج رسمي؟,Personal Status,marriage_certificate
عايز اعرف استخرج قيد فردي؟,Civil Affairs,individual_record
ينفع استخرج شهادة وفاة اونلاين؟,Civil Affairs,death_certificate
ممكن حد يفهمني اعدل بيانات في رخصة القيادة؟,Traffic,driving_license
عايز اعرف ازاي اعدل بيانات غلط في عقد الجواز؟,Personal Status,marriage
فين اروح علشان شروط اتمام عقد الزواج للمصريين في الخارج؟,Personal Status,marriage
عايز اعرف ازاي استخرج قسيمة الزواج؟,Personal Status,marriage_certificate
ينفع اطلع قسيمة الزواج من مأذون تاني محافظة؟,Personal Status,marriage_certificate
ممكن تقولي ازاي مواعيد تقديم الاقرار الضريبي امتى؟,Taxes,tax_return
لو سمحت عايز اعرف اعدل بيانات التسجيل الضريبي؟,Taxes,tax_registration
ممكن حد يفهمني رسوم توثيق عقد الجواز كام؟,Personal Status,marriage
هعمل ايه علشان اتجوز واحدة اجنبية اعمل ايه في الاوراق؟,Personal Status,marriage
عايز اعرف ازاي استخرج قسيمة الطلاق؟,Personal Status,divorce_certificate
عايز اعرف ازاي استرد ضريبة القيمة المضافة؟,Taxes,vat
هعمل ايه علشان شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,birth_certificate
هعمل ايه علشان اترجم قسيمة الطلاق رسمي؟,Personal Status,divorce_certificate
انا محتاج استخرج رخصة سيارتي الجديدة؟,Traffic,vehicle_license
لو سمحت عايز اعرف استخرج رخصة سيارتي الجديدة؟,Traffic,vehicle_license
عايز اعرف ازاي اسجل في ضريبة القيمة المضافة؟,Taxes,vat
لو سمحت عايز اعرف انقل ملكية عربية لشخص تاني؟,Traffic,vehicle_registration
انا محتاج الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,tax_return
ينفع المخالفة هتأثر على تجديد الرخصة ولا لأ؟,Traffic,traffic_violations
لو سمحت عايز اعرف المستندات المطلوبة للقيد الفردي؟,Civil Affairs,individual_record
انا تايه، عايز اعرف اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,divorce_certificate
فين اروح علشان اسجل عقد جواز عرفي؟,Personal Status,marriage
ينفع ادفع مخالفة المرور اونلاين؟,Traffic,traffic_violations
ينفع اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,divorce_certificate
لو سمحت عايز اعرف استخرج شهادة وفاة اونلاين؟,Civil Affairs,death_certificate
لو سمحت عايز اعرف محتاج القيد الفردي علشان اقدم عليه فين؟,Civil Affairs,individual_record
ينفع اطلع افادة بالحالة الاجتماعية؟,Personal Status,social_status
عايز اعرف استعلم عن مخالفات عربية مش عربيتي؟,Traffic,traffic_violations
لو سمحت عايز اعرف استرد ضريبة دخل مخصومة زيادة؟,Taxes,income_tax
ينفع استخرج البطاقة الضريبية اونلاين؟,Taxes,tax_card
عايز اعرف ازاي شهادة الوفاة بتتعمل فين بالظبط؟,Civil Affairs,death_certificate
ممكن حد يفهمني رسوم استخراج شهادة الميلاد كام؟,Civil Affairs,birth_certificate
عايز اعرف ازاي الفرق بين الطلاق والخلع ايه؟,Personal Status,divorce
انا محتاج البطاقة الضريبية محتاجها علشان اعمل ايه؟,Taxes,tax_card
ممكن تقولي ازاي اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,death_certificate
ممكن تقولي ازاي اتجوز واحدة اجنبية اعمل ايه في الاوراق؟,Personal Status,marriage
ينفع الفرق بين الطلاق والخلع ايه؟,Personal Status,divorce
انا محتاج التسجيل الضريبي فرق ايه عن البطاقة الضريبية؟,Taxes,tax_registration
عايز اعرف اطلع بدل فاقد للبطاقة الضريبية؟,Taxes,tax_card
لو سمحت عايز اعرف اوثق اشهاد طلاق اونلاين؟,Personal Status,divorce
لو سمحت عايز اعرف اعدل بيانات تسجيل المركبة؟,Traffic,vehicle_registration
ممكن حد يفهمني اعمل ايه علشان اقيد وفاة حصلت برا البلد؟,Civil Affairs,death_certificate
انا تايه، عايز اعرف استخرج رخصة سيارتي الجديدة؟,Traffic,vehicle_license
ممكن تقولي ازاي اعترض على مخالفة مرور غلط؟,Traffic,traffic_violations
عايز اعرف ازاي افرق القيد الفردي عن العائلي في ايه؟,Civil Affairs,individual_record
هعمل ايه علشان اطلع شهادة ميلاد كمبيوتر بدل الاول؟,Civil Affairs,birth_certificate
عايز اعرف ازاي اعدل بيانات التسجيل الضريبي؟,Taxes,tax_registration
ممكن حد يفهمني مدة سقوط مخالفة المرور كام؟,Traffic,traffic_violations
انا تايه، عايز اعرف اعدل بيانات في رخصة القيادة؟,Traffic,driving_license
ممكن تقولي ازاي استخرج القيد العائلي اونلاين؟,Civil Affairs,family_record
انا محتاج اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,birth_certificate
عايز اعرف اعدل بيانات غلط في القيد العائلي؟,Civil Affairs,family_record
عايز اعرف احول رخصة قيادة اجنبية لمصرية؟,Traffic,driving_license
ممكن تقولي ازاي غرامة التأخير في سداد القيمة المضافة كام؟,Taxes,vat
ممكن حد يفهمني اسجل نفسي في مصلحة الضرائب؟,Taxes,tax_registration
لو سمحت عايز اعرف المستندات المطلوبة لتغيير الحالة الاجتماعية؟,Personal Status,social_status
هعمل ايه علشان انقل ملكية موتوسيكل ازاي؟,Traffic,vehicle_registration
ينفع اعقد عقد جواز جديد؟,Personal Status,marriage
انا تايه، عايز اعرف رسوم شهادة الوفاة كام؟,Civil Affairs,death_certificate
ممكن تقولي ازاي الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,tax_return
انا محتاج اجدد رخصة القيادة قبل ما تخلص؟,Traffic,renewal
ممكن تقولي ازاي اسجل المركبة اونلاين؟,Traffic,vehicle_registration
ممكن تقولي ازاي اعدل بيانات في رخصة القيادة؟,Traffic,driving_license
انا محتاج اسجل مركبة مستوردة جديدة؟,Traffic,vehicle_registration
ممكن حد يفهمني تجديد الرخصة بياخد وقت قد ايه؟,Traffic,renewal
عايز اعرف ازاي اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,divorce_certificate
فين اروح علشان قسيمة الطلاق بتاخد وقت قد ايه؟,Personal Status,divorce_certificate
انا محتاج اطلع بدل فاقد لشهادة الوفاة؟,Civil Affairs,death_certificate
عايز اعرف ازاي تحديث الحالة الاجتماعية بياخد قد ايه؟,Personal Status,social_status
ممكن حد يفهمني استخرج قيد فردي اونلاين؟,Civil Affairs,individual_record
عايز اعرف ازاي شرايح ضريبة الدخل الحالية ايه؟,Taxes,income_tax
لو سمحت عايز اعرف اجدد الرخصة من غير كشف طبي ينفع؟,Traffic,renewal
هعمل ايه علشان اسجل حالة وفاة في الشئون المدنية؟,Civil Affairs,death_certificate
عايز اعرف اطلع بدل فاقد لقسيمة الزواج؟,Personal Status,marriage_certificate
ممكن حد يفهمني افرق قيدي عن قيد اهلي؟,Civil Affairs,family_record
انا محتاج رسوم توثيق عقد الجواز كام؟,Personal Status,marriage
ممكن تقولي ازاي استخرج قسيمة الزواج؟,Personal Status,marriage_certificate
لو سمحت عايز اعرف اعمل ايه علشان اقيد وفاة حصلت برا البلد؟,Civil Affairs,death_certificate
عايز اعرف اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,birth_certificate
ممكن تقولي ازاي اعدل بيانات في رخصة المركبة؟,Traffic,vehicle_license
هعمل ايه علشان اطلع بدل فاقد للبطاقة الشخصية؟,Civil Affairs,national_id
ينفع اعمل ايه لو عايز اطلق زوجتي المقيمة برا البلد؟,Personal Status,divorce
ممكن حد يفهمني اطلع افادة بالحالة الاجتماعية؟,Personal Status,social_status
انا محتاج اطلع قسيمة طلاق قديمة من الارشيف؟,Personal Status,divorce_certificate
ممكن حد يفهمني رسوم البطاقة الضريبية كام؟,Taxes,tax_card
انا تايه، عايز اعرف اطلع بطاقة ضريبية لمنشأة جديدة؟,Taxes,tax_card
انا محتاج اسجل في ضريبة القيمة المضافة؟,Taxes,vat
ممكن تقولي ازاي اعقد عقد جواز جديد؟,Personal Status,marriage
ممكن حد يفهمني اطلع بدل فاقد للقيد الفردي؟,Civil Affairs,individual_record
ممكن تقولي ازاي اجدد الرخصة لمركبة نقل؟,Traffic,renewal
عايز اعرف ازاي المستندات المطلوبة لتجديد الرخصة؟,Traffic,renewal
انا محتاج اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,vat
عايز اعرف انقل ملكية عربية لشخص تاني؟,Traffic,vehicle_registration
عايز اعرف ازاي اعمل ايه علشان اقيد وفاة حصلت برا البلد؟,Civil Affairs,death_certificate
انا تايه، عايز اعرف فين اروح علشان اجدد الرخصة بسرعة؟,Traffic,renewal
لو سمحت عايز اعرف المستندات المطلوبة للبطاقة الضريبية؟,Taxes,tax_card
ممكن تقولي ازاي شهادة الوفاة لازمة لايه بعد كده؟,Civil Affairs,death_certificate
عايز اعرف ازاي استرد ضريبة دخل مخصومة زيادة؟,Taxes,income_tax
ممكن تقولي ازاي اطلع ايصال دفع مخالفة مرور؟,Traffic,traffic_violations
ينفع استخرج بطاقة الرقم القومي لأول مرة؟,Civil Affairs,national_id
ينفع استخرج قسيمة زواج اونلاين؟,Personal Status,marriage_certificate
عايز اعرف اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,divorce_certificate
لو سمحت عايز اعرف اعدل الحالة الاجتماعية اونلاين؟,Personal Status,social_status
ممكن حد يفهمني استخرج البطاقة الضريبية اونلاين؟,Taxes,tax_card
فين اروح علشان رخصة القيادة بتاخد وقت قد ايه؟,Traffic,driving_license
هعمل ايه علشان اطلع شهادة ميلاد لشخص متوفي؟,Civil Affairs,birth_certificate
فين اروح علشان المستندات المطلوبة لتغيير الحالة الاجتماعية؟,Personal Status,social_status
عايز اعرف اوثق اشهاد طلاق اونلاين؟,Personal Status,divorce
انا محتاج استخرج قسيمة زواج اونلاين؟,Personal Status,marriage_certificate
ينفع اجدد رخصة السيارة اونلاين؟,Traffic,renewal
انا محتاج المستندات المطلوبة لقسيمة الزواج؟,Personal Status,marriage_certificate
هعمل ايه علشان استخرج بطاقة الرقم القومي لأول مرة؟,Civil Affairs,national_id
عايز اعرف ادفع مخالفة المرور اونلاين؟,Traffic,traffic_violations
ممكن تقولي ازاي ضريبة الدخل على العمل الحر بتتحصل ازاي؟,Taxes,income_tax
عايز اعرف ازاي اقيد مولود جديد في السجل المدني؟,Civil Affairs,birth_certificate
ممكن تقولي ازاي المستندات المطلوبة لاستخراج شهادة الوفاة؟,Civil Affairs,death_certificate
ممكن حد يفهمني اطلع قسيمة طلاق قديمة من الارشيف؟,Personal Status,divorce_certificate
فين اروح علشان رخصة الموتوسيكل بتتجدد ازاي؟,Traffic,vehicle_license
ينفع استعلم عن مخالفات المرور بتاعتي؟,Traffic,traffic_violations
عايز اعرف تسجيل المركبة بياخد وقت قد ايه؟,Traffic,vehicle_registration
عايز اعرف ازاي مدة سقوط مخالفة المرور كام؟,Traffic,traffic_violations
ممكن تقولي ازاي اعمل ايه علشان اقيد وفاة حصلت برا البلد؟,Civil Affairs,death_certificate
ينفع اطلع بطاقة ضريبية لمنشأة جديدة؟,Taxes,tax_card
انا محتاج شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,birth_certificate
انا تايه، عايز اعرف استخرج قيد فردي اونلاين؟,Civil Affairs,individual_record
فين اروح علشان غرامة تأخير الاقرار الضريبي كام؟,Taxes,tax_return
لو سمحت عايز اعرف قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,divorce_certificate
هعمل ايه علشان اسجل شركتي الجديدة ضريبيا؟,Taxes,tax_registration
ممكن حد يفهمني شهادة الوفاة لازمة لايه بعد كده؟,Civil Affairs,death_certificate
لو سمحت عايز اعرف ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,national_id
انا محتاج الفاتورة الالكترونية علاقتها بالقيمة المضافة ايه؟,Taxes,vat
ممكن تقولي ازاي المستندات المطلوبة لتغيير الحالة الاجتماعية؟,Personal Status,social_status
انا محتاج استرد ضريبة القيمة المضافة؟,Taxes,vat
فين اروح علشان المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,income_tax
ممكن حد يفهمني اسجل حالة وفاة في الشئون المدنية؟,Civil Affairs,death_certificate
انا تايه، عايز اعرف اعدل العنوان في بطاقة الرقم القومي؟,Civil Affairs,national_id
انا تايه، عايز اعرف اقدم اقرار ضريبي صفري؟,Taxes,tax_return
ممكن تقولي ازاي البطاقة الضريبية بتاخد قد ايه؟,Taxes,tax_card
ممكن حد يفهمني اجدد رخصة عربية متأخرة من سنين؟,Traffic,renewal
ينفع اعدل بيانات غلط في القيد العائلي؟,Civil Affairs,family_record
ينفع اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,social_status
لو سمحت عايز اعرف المخالفة هتأثر على تجديد الرخصة ولا لأ؟,Traffic,traffic_violations
عايز اعرف ازاي اعدل الحالة الاجتماعية بعد وفاة الزوج؟,Personal Status,social_status
هعمل ايه علشان شروط اتمام عقد الزواج للمصريين في الخارج؟,Personal Status,marriage
هعمل ايه علشان رسوم توثيق الطلاق كام؟,Personal Status,divorce
انا محتاج اقسط غرامة مخالفات المرور؟,Traffic,traffic_violations
لو سمحت عايز اعرف اطلاق اجراءاته بتاخد قد ايه؟,Personal Status,divorce
هعمل ايه علشان استخرج قسيمة الطلاق؟,Personal Status,divorce_certificate
انا تايه، عايز اعرف استرد ضريبة دخل مخصومة زيادة؟,Taxes,income_tax
ممكن تقولي ازاي اطلع قسيمة طلاق قديمة من الارشيف؟,Personal Status,divorce_certificate
انا تايه، عايز اعرف قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,divorce_certificate
ممكن تقولي ازاي اغير حالتي الاجتماعية من اعزب لمتجوز في الاوراق؟,Personal Status,social_status
فين اروح علشان استخرج البطاقة الضريبية اونلاين؟,Taxes,tax_card
انا محتاج اقدم طلب طلاق للمحكمة ازاي؟,Personal Status,divorce
ينفع شهادة الوفاة لازمة لايه بعد كده؟,Civil Affairs,death_certificate
ممكن تقولي ازاي المستندات المطلوبة للتسجيل الضريبي؟,Taxes,tax_registration
لو سمحت عايز اعرف رسوم استخراج بطاقة الرقم القومي كام؟,Civil Affairs,national_id
فين اروح علشان خطوات تجديد الرخصة اونلاين ايه؟,Traffic,renewal
لو سمحت عايز اعرف اطلع بدل فاقد للبطاقة الضريبية؟,Taxes,tax_card
لو سمحت عايز اعرف اجدد رخصة القيادة بعد ما خلصت؟,Traffic,driving_license
عايز اعرف استخرج قيد عائلي جديد؟,Civil Affairs,family_record
فين اروح علشان المستندات المطلوبة لتجديد الرخصة؟,Traffic,renewal
فين اروح علشان شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,birth_certificate
هعمل ايه علشان اسجل المركبة اونلاين؟,Traffic,vehicle_registration
ممكن حد يفهمني افرق القيد الفردي عن العائلي في ايه؟,Civil Affairs,individual_record
فين اروح علشان شهادة الوفاة بتتعمل فين بالظبط؟,Civil Affairs,death_certificate
هعمل ايه علشان اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,family_record
لو سمحت عايز اعرف المستندات المطلوبة لعقد الزواج؟,Personal Status,marriage
هعمل ايه علشان اسجل نفسي في مصلحة الضرائب؟,Taxes,tax_registration
هعمل ايه علشان اعقد عقد جواز جديد؟,Personal Status,marriage
عايز اعرف رسوم رخصة السيارة كام؟,Traffic,vehicle_license
هعمل ايه علشان رسوم رخصة السيارة كام؟,Traffic,vehicle_license
عايز اعرف اترجم قسيمة الطلاق رسمي؟,Personal Status,divorce_certificate
انا تايه، عايز اعرف رسوم استخراج شهادة الميلاد كام؟,Civil Affairs,birth_certificate
ينفع المستندات المطلوبة للاقرار الضريبي؟,Taxes,tax_return
عايز اعرف ازاي استخرج شهادة ميلاد اونلاين؟,Civil Affairs,birth_certificate
عايز اعرف المستندات المطلوبة لاستخراج شهادة الوفاة؟,Civil Affairs,death_certificate
ينفع التسجيل الضريبي فرق ايه عن البطاقة الضريبية؟,Taxes,tax_registration
ممكن حد يفهمني رسوم شهادة الوفاة كام؟,Civil Affairs,death_certificate
انا محتاج استعلم عن مخالفات المرور بتاعتي؟,Traffic,traffic_violations
هعمل ايه علشان المستندات المطلوبة للقيد الفردي؟,Civil Affairs,individual_record
فين اروح علشان اطلع بدل فاقد للبطاقة الشخصية؟,Civil Affairs,national_id
عايز اعرف ازاي اطلع بدل فاقد لرخصة القيادة؟,Traffic,driving_license
ممكن تقولي ازاي احذف اسم من القيد العائلي؟,Civil Affairs,family_record
انا محتاج اعقد عقد جواز جديد؟,Personal Status,marriage
ينفع المستندات المطلوبة لقسيمة الزواج؟,Personal Status,marriage_certificate
ممكن حد يفهمني اقيد مولود جديد في السجل المدني؟,Civil Affairs,birth_certificate
ممكن تقولي ازاي اعمل ايه لو فاتني ميعاد تقديم الاقرار الضريبي؟,Taxes,tax_return
عايز اعرف ازاي اسجل حالة طلاق في المأذون؟,Personal Status,divorce
انا تايه، عايز اعرف اسجل مركبة مستوردة جديدة؟,Traffic,vehicle_registration
ممكن حد يفهمني المستندات المطلوبة لاستخراج القيد العائلي؟,Civil Affairs,family_record
فين اروح علشان الاقرار الضريبي للشركات فرق ايه عن الافراد؟,Taxes,tax_return
هعمل ايه علشان افرق بين ضريبة الدخل والضريبة على الارباح؟,Taxes,income_tax
