question,category,label
عايز اعرف استخرج قيد فردي؟,Civil Affairs,0
فين اروح علشان اعقد عقد جواز جديد؟,Personal Status,1
هعمل ايه علشان اعدل بيانات غلط في قسيمة الزواج؟,Personal Status,1
ممكن حد يفهمني خطوات تجديد الرخصة اونلاين ايه؟,Traffic,3
فين اروح علشان اوثق اشهاد طلاق اونلاين؟,Personal Status,1
عايز اعرف رسوم استخراج بطاقة الرقم القومي كام؟,Civil Affairs,0
انا تايه، عايز اعرف اعدل بيانات خطأ في شهادة الوفاة؟,Civil Affairs,0
ممكن تقولي ازاي اوثق اشهاد طلاق اونلاين؟,Personal Status,1
لو سمحت عايز اعرف احذف اسم من القيد العائلي؟,Civil Affairs,0
فين اروح علشان المستندات المطلوبة لتغيير الحالة الاجتماعية؟,Personal Status,1
انا تايه، عايز اعرف قسيمة الزواج محتاجها علشان استخرج ايه بعد كده؟,Personal Status,1
انا تايه، عايز اعرف استخرج قسيمة زواج اونلاين؟,Personal Status,1
هعمل ايه علشان مدة استخراج البطاقة القومي بتاخد قد ايه؟,Civil Affairs,0
ينفع استعلم عن مخالفات المرور بتاعتي؟,Traffic,3
انا تايه، عايز اعرف اعدل بيانات في القيد الفردي؟,Civil Affairs,0
انا تايه، عايز اعرف مدة سقوط مخالفة المرور كام؟,Traffic,3
لو سمحت عايز اعرف اجدد رخصة السيارة اونلاين؟,Traffic,3
هعمل ايه علشان رسوم توثيق عقد الجواز كام؟,Personal Status,1
عايز اعرف رسوم القيد الفردي كام؟,Civil Affairs,0
انا تايه، عايز اعرف المستندات المطلوبة لقسيمة الزواج؟,Personal Status,1
هعمل ايه علشان اترجم قسيمة الزواج رسمي؟,Personal Status,1
هعمل ايه علشان شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,0
انا تايه، عايز اعرف استخرج البطاقة الضريبية اونلاين؟,Taxes,2
ممكن تقولي ازاي المستندات المطلوبة للبطاقة الضريبية؟,Taxes,2
ممكن حد يفهمني اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,1
فين اروح علشان اسجل ضريبيا اونلاين؟,Taxes,2
ينفع رخصة السيارة بتاخد قد ايه؟,Traffic,3
انا تايه، عايز اعرف اعمل ايه لو فاتني ميعاد تقديم الاقرار الضريبي؟,Taxes,2
لو سمحت عايز اعرف استخرج القيد العائلي اونلاين؟,Civil Affairs,0
عايز اعرف اعرف اقرب مكتب سجل مدني لعمل البطاقة؟,Civil Affairs,0
هعمل ايه علشان اطلع شهادة ميلاد لشخص متوفي؟,Civil Affairs,0
ممكن حد يفهمني رخصة الموتوسيكل بتتجدد ازاي؟,Traffic,3
ممكن حد يفهمني انقل ملكية موتوسيكل ازاي؟,Traffic,3
انا تايه، عايز اعرف ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,2
لو سمحت عايز اعرف اجدد رخصة القيادة بعد ما خلصت؟,Traffic,3
هعمل ايه علشان الفاتورة الالكترونية علاقتها بالقيمة المضافة ايه؟,Taxes,2
لو سمحت عايز اعرف رخصة السيارة بتاخد قد ايه؟,Traffic,3
ممكن حد يفهمني الاقرار الضريبي للشركات فرق ايه عن الافراد؟,Taxes,2
انا تايه، عايز اعرف مخالفات المرور بتتحسب ازاي؟,Traffic,3
ممكن تقولي ازاي اسجل حالة طلاق في المأذون؟,Personal Status,1
فين اروح علشان اعترض على ربط ضريبة الدخل؟,Taxes,2
عايز اعرف المستندات المطلوبة لعقد الزواج؟,Personal Status,1
عايز اعرف ازاي المستندات المطلوبة لعمل بطاقة رقم قومي؟,Civil Affairs,0
ينفع خطوات تجديد الرخصة اونلاين ايه؟,Traffic,3
ممكن حد يفهمني مخالفات المرور بتتحسب ازاي؟,Traffic,3
فين اروح علشان اغير حالتي الاجتماعية من اعزب لمتجوز في الاوراق؟,Personal Status,1
هعمل ايه علشان اطلع بدل فاقد للبطاقة الضريبية؟,Taxes,2
فين اروح علشان المستندات المطلوبة لاستخراج شهادة الوفاة؟,Civil Affairs,0
ينفع مدة سقوط مخالفة المرور كام؟,Traffic,3
عايز اعرف ازاي اجدد البطاقة الضريبية بعد ما خلصت؟,Taxes,2
فين اروح علشان اعدل الحالة الاجتماعية بعد الطلاق؟,Personal Status,1
هعمل ايه علشان ضريبة الدخل بتتحسب ازاي للمهن الحرة؟,Taxes,2
عايز اعرف اجدد رخصة القيادة بعد ما خلصت؟,Traffic,3
لو سمحت عايز اعرف اعدل الحالة الاجتماعية بعد وفاة الزوج؟,Personal Status,1
انا محتاج استخرج شهادة ميلاد لابني؟,Civil Affairs,0
انا تايه، عايز اعرف رسوم استخراج شهادة الميلاد كام؟,Civil Affairs,0
ممكن تقولي ازاي اجدد البطاقة الضريبية بعد ما خلصت؟,Taxes,2
هعمل ايه علشان افرق بين ضريبة الدخل والضريبة على الارباح؟,Taxes,2
عايز اعرف المستندات المطلوبة للتسجيل في القيمة المضافة؟,Taxes,2
لو سمحت عايز اعرف اطلع نسخة من اقرار ضريبي قديم؟,Taxes,2
ممكن حد يفهمني اجدد رخصة العربية اونلاين؟,Traffic,3
ممكن تقولي ازاي اطلع افادة طلاق رسمية؟,Personal Status,1
انا تايه، عايز اعرف ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,0
ممكن حد يفهمني اطلع قسيمة طلاق قديمة من الارشيف؟,Personal Status,1
هعمل ايه علشان اعدل بيانات تسجيل المركبة؟,Traffic,3
ممكن تقولي ازاي اطلع افادة بالحالة الاجتماعية؟,Personal Status,1
انا محتاج البطاقة الضريبية بتاخد قد ايه؟,Taxes,2
فين اروح علشان احذف اسم من القيد العائلي؟,Civil Affairs,0
ينفع اترجم قسيمة الزواج رسمي؟,Personal Status,1
فين اروح علشان البطاقة الضريبية بتاخد قد ايه؟,Taxes,2
فين اروح علشان المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,2
هعمل ايه علشان اعمل ايه علشان اقيد وفاة حصلت برا البلد؟,Civil Affairs,0
فين اروح علشان القيد الفردي بيتطلب مدة قد ايه؟,Civil Affairs,0
فين اروح علشان اتجوز واحدة اجنبية اعمل ايه في الاوراق؟,Personal Status,1
ممكن حد يفهمني اعترض على ربط ضريبة الدخل؟,Taxes,2
عايز اعرف تحديث الحالة الاجتماعية بياخد قد ايه؟,Personal Status,1
انا تايه، عايز اعرف اجدد رخصة القيادة قبل ما تخلص؟,Traffic,3
لو سمحت عايز اعرف اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,0
عايز اعرف ازاي اعترض على ربط ضريبة الدخل؟,Taxes,2
فين اروح علشان اعمل ايه لو فاتني ميعاد تقديم الاقرار الضريبي؟,Taxes,2
انا تايه، عايز اعرف اعدل بيانات في رخصة القيادة؟,Traffic,3
انا تايه، عايز اعرف اقدم طلب طلاق للمحكمة ازاي؟,Personal Status,1
انا تايه، عايز اعرف اسجل شركتي الجديدة ضريبيا؟,Taxes,2
فين اروح علشان اعترض على مخالفة مرور غلط؟,Traffic,3
هعمل ايه علشان اسجل حالة وفاة في الشئون المدنية؟,Civil Affairs,0
انا تايه، عايز اعرف المستندات المطلوبة للتسجيل في القيمة المضافة؟,Taxes,2
هعمل ايه علشان استخرج قسيمة طلاق اونلاين؟,Personal Status,1
ينفع رسوم القيد الفردي كام؟,Civil Affairs,0
انا محتاج الاقرار الضريبي للشركات فرق ايه عن الافراد؟,Taxes,2
ممكن تقولي ازاي الاقرار الضريبي للشركات فرق ايه عن الافراد؟,Taxes,2
عايز اعرف اطلع افادة طلاق رسمية؟,Personal Status,1
ممكن تقولي ازاي اعمل ايه لو فاتني ميعاد تقديم الاقرار الضريبي؟,Taxes,2
لو سمحت عايز اعرف المخالفة هتأثر على تجديد الرخصة ولا لأ؟,Traffic,3
ممكن تقولي ازاي التسجيل الضريبي فرق ايه عن البطاقة الضريبية؟,Taxes,2
هعمل ايه علشان استخرج قسيمة الطلاق؟,Personal Status,1
انا محتاج افرق قيدي عن قيد اهلي؟,Civil Affairs,0
عايز اعرف ازاي التسجيل الضريبي فرق ايه عن البطاقة الضريبية؟,Taxes,2
فين اروح علشان اعدل الاقرار الضريبي بعد التقديم؟,Taxes,2
انا تايه، عايز اعرف اسجل عربية جديدة في المرور؟,Traffic,3
لو سمحت عايز اعرف اعترض على ربط ضريبة الدخل؟,Taxes,2
هعمل ايه علشان المستندات المطلوبة للتسجيل الضريبي؟,Taxes,2
ينفع استخرج شهادة وفاة اونلاين؟,Civil Affairs,0
فين اروح علشان خطوات تجديد الرخصة اونلاين ايه؟,Traffic,3
لو سمحت عايز اعرف محتاج القيد الفردي علشان اقدم عليه فين؟,Civil Affairs,0
انا تايه، عايز اعرف اقسط غرامة مخالفات المرور؟,Traffic,3
ممكن تقولي ازاي اطلع بدل فاقد لرخصة القيادة؟,Traffic,3
ممكن تقولي ازاي المستندات المطلوبة للقيد الفردي؟,Civil Affairs,0
هعمل ايه علشان شروط اتمام عقد الزواج للمصريين في الخارج؟,Personal Status,1
عايز اعرف شهادة الوفاة لازمة لايه بعد كده؟,Civil Affairs,0
انا محتاج اطلع شهادة ميلاد كمبيوتر بدل الاول؟,Civil Affairs,0
فين اروح علشان اطلع قسيمة الزواج من مأذون تاني محافظة؟,Personal Status,1
هعمل ايه علشان اضيف مولود على القيد العائلي؟,Civil Affairs,0
لو سمحت عايز اعرف الفاتورة الالكترونية علاقتها بالقيمة المضافة ايه؟,Taxes,2
ممكن حد يفهمني المستندات المطلوبة للتسجيل الضريبي؟,Taxes,2
ممكن تقولي ازاي اعدل بيانات تسجيل المركبة؟,Traffic,3
هعمل ايه علشان احول رخصة قيادة اجنبية لمصرية؟,Traffic,3
ممكن تقولي ازاي اعدل بيانات في رخصة القيادة؟,Traffic,3
ينفع الفرق بين الطلاق والخلع ايه؟,Personal Status,1
عايز اعرف ازاي اسجل حالة وفاة في الشئون المدنية؟,Civil Affairs,0
هعمل ايه علشان اطلع قيد فردي لابني الصغير؟,Civil Affairs,0
ممكن حد يفهمني اجدد رخصة العربية بعد الانتهاء؟,Traffic,3
فين اروح علشان احسب ضريبة الدخل على مرتبي؟,Taxes,2
فين اروح علشان المستندات المطلوبة لاستخراج القيد العائلي؟,Civil Affairs,0
ممكن حد يفهمني غرامة تأخير تجديد الرخصة كام؟,Traffic,3
ممكن تقولي ازاي اطلع بدل فاقد للبطاقة الضريبية؟,Taxes,2
عايز اعرف ازاي اعدل بيانات تسجيل المركبة؟,Traffic,3
ممكن حد يفهمني رسوم القيد الفردي كام؟,Civil Affairs,0
فين اروح علشان انقل ملكية موتوسيكل ازاي؟,Traffic,3
هعمل ايه علشان الحالة الاجتماعية في القيد مش مطابقة اعمل ايه؟,Personal Status,1
ممكن تقولي ازاي اجدد رخصة السيارة اونلاين؟,Traffic,3
لو سمحت عايز اعرف اعدل بيانات في رخصة القيادة؟,Traffic,3
لو سمحت عايز اعرف الاقرار الضريبي للشركات فرق ايه عن الافراد؟,Taxes,2
انا محتاج اثبت حالتي الاجتماعية لجهة عمل؟,Personal Status,1
عايز اعرف اعدل بيانات في رخصة المركبة؟,Traffic,3
فين اروح علشان رسوم استخراج شهادة الميلاد كام؟,Civil Affairs,0
انا محتاج اجدد بطاقة الرقم القومي بتاعتي؟,Civil Affairs,0
انا محتاج استخرج البطاقة الضريبية اونلاين؟,Taxes,2
انا محتاج نسبة ضريبة القيمة المضافة كام؟,Taxes,2
انا محتاج رخصة الموتوسيكل بتتجدد ازاي؟,Traffic,3
فين اروح علشان رخصة السيارة بتاخد قد ايه؟,Traffic,3
انا تايه، عايز اعرف اطلع بدل فاقد للقيد العائلي؟,Civil Affairs,0
فين اروح علشان استخرج رخصة سيارتي الجديدة؟,Traffic,3
انا محتاج استخرج قيد فردي اونلاين؟,Civil Affairs,0
فين اروح علشان اترجم قسيمة الزواج رسمي؟,Personal Status,1
عايز اعرف رخصة القيادة بتاخد وقت قد ايه؟,Traffic,3
انا محتاج اطلع نسخة من اقرار ضريبي قديم؟,Taxes,2
هعمل ايه علشان رسوم التسجيل الضريبي كام؟,Taxes,2
هعمل ايه علشان رسوم استخراج بطاقة الرقم القومي كام؟,Civil Affairs,0
عايز اعرف مخالفات المرور بتتحسب ازاي؟,Traffic,3
ينفع اسجل عربية جديدة في المرور؟,Traffic,3
ينفع الحالة الاجتماعية في البطاقة بتتغير ازاي؟,Personal Status,1
فين اروح علشان مخالفات المرور بتتحسب ازاي؟,Traffic,3
فين اروح علشان اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,2
ينفع اغير حالتي الاجتماعية من اعزب لمتجوز في الاوراق؟,Personal Status,1
هعمل ايه علشان اسجل ضريبيا اونلاين؟,Taxes,2
ممكن حد يفهمني اضيف مولود على القيد العائلي؟,Civil Affairs,0
فين اروح علشان استخرج بطاقة الرقم القومي لأول مرة؟,Civil Affairs,0
هعمل ايه علشان اطلع نسخة من اقرار ضريبي قديم؟,Taxes,2
انا محتاج اعقد عقد جواز جديد؟,Personal Status,1
انا تايه، عايز اعرف المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,2
عايز اعرف ازاي اسجل نفسي في مصلحة الضرائب؟,Taxes,2
انا تايه، عايز اعرف المستندات المطلوبة لرخصة المركبة؟,Traffic,3
لو سمحت عايز اعرف اعدل بيانات في البطاقة الضريبية؟,Taxes,2
عايز اعرف اعترض على مخالفة مرور غلط؟,Traffic,3
هعمل ايه علشان القيد العائلي بياخد وقت قد ايه؟,Civil Affairs,0
انا تايه، عايز اعرف اقدم الاقرار الضريبي السنوي؟,Taxes,2
عايز اعرف استخرج شهادة ميلاد لابني؟,Civil Affairs,0
ممكن حد يفهمني اعقد عقد جواز جديد؟,Personal Status,1
ممكن حد يفهمني اعدل بيانات في البطاقة الضريبية؟,Taxes,2
انا محتاج المستندات المطلوبة لرخصة المركبة؟,Traffic,3
ممكن تقولي ازاي اترجم قسيمة الزواج رسمي؟,Personal Status,1
لو سمحت عايز اعرف شهادة الوفاة بتتعمل فين بالظبط؟,Civil Affairs,0
عايز اعرف ازاي استخرج قسيمة طلاق اونلاين؟,Personal Status,1
فين اروح علشان رخصة القيادة بتاخد وقت قد ايه؟,Traffic,3
عايز اعرف ازاي اعرف تفاصيل مخالفة برقم اللوحة؟,Traffic,3
لو سمحت عايز اعرف قسيمة الطلاق بتاخد وقت قد ايه؟,Personal Status,1
عايز اعرف اجدد رخصة العربية اونلاين؟,Traffic,3
انا تايه، عايز اعرف فين اروح علشان اجدد الرخصة بسرعة؟,Traffic,3
عايز اعرف ازاي اطلع بدل فاقد لقسيمة الطلاق؟,Personal Status,1
لو سمحت عايز اعرف استخرج قيد فردي اونلاين؟,Civil Affairs,0
انا محتاج اجدد الرخصة لمركبة نقل؟,Traffic,3
انا تايه، عايز اعرف رسوم رخصة القيادة كام؟,Traffic,3
انا تايه، عايز اعرف رخصة الموتوسيكل بتتجدد ازاي؟,Traffic,3
انا تايه، عايز اعرف انقل ملكية موتوسيكل ازاي؟,Traffic,3
ممكن حد يفهمني الكشف الطبي لرخصة القيادة بيتعمل فين؟,Traffic,3
لو سمحت عايز اعرف اعمل ايه علشان اقيد وفاة حصلت برا البلد؟,Civil Affairs,0
ممكن حد يفهمني تحديث الحالة الاجتماعية بياخد قد ايه؟,Personal Status,1
ممكن حد يفهمني القيد العائلي بياخد وقت قد ايه؟,Civil Affairs,0
عايز اعرف ازاي نسبة ضريبة القيمة المضافة كام؟,Taxes,2
ممكن حد يفهمني اقسط غرامة مخالفات المرور؟,Traffic,3
ممكن حد يفهمني اطلع بطاقة ضريبية لمنشأة جديدة؟,Taxes,2
ممكن حد يفهمني اسجل شركتي الجديدة ضريبيا؟,Taxes,2
ينفع المستندات المطلوبة للاقرار الضريبي؟,Taxes,2
انا تايه، عايز اعرف رسوم القيد الفردي كام؟,Civil Affairs,0
عايز اعرف محتاج القيد الفردي علشان اقدم عليه فين؟,Civil Affairs,0
انا تايه، عايز اعرف اقدم على رخصة القيادة اونلاين؟,Traffic,3
فين اروح علشان اسجل حالة طلاق في المأذون؟,Personal Status,1
ينفع رسوم استخراج شهادة الميلاد كام؟,Civil Affairs,0
ممكن حد يفهمني اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,0
ممكن حد يفهمني اجدد الرخصة من غير كشف طبي ينفع؟,Traffic,3
فين اروح علشان رسوم رخصة السيارة كام؟,Traffic,3
ينفع المستندات المطلوبة للتسجيل في القيمة المضافة؟,Taxes,2
انا محتاج شهادة الوفاة بتتعمل فين بالظبط؟,Civil Affairs,0
لو سمحت عايز اعرف استخرج قسيمة الزواج؟,Personal Status,1
فين اروح علشان استخرج شهادة وفاة لأبويا؟,Civil Affairs,0
فين اروح علشان المستندات المطلوبة للطلاق؟,Personal Status,1
هعمل ايه علشان القيد الفردي بيتطلب مدة قد ايه؟,Civil Affairs,0
انا تايه، عايز اعرف اعدل بيانات غلط في قسيمة الزواج؟,Personal Status,1
انا محتاج اجدد رخصة القيادة قبل ما تخلص؟,Traffic,3
انا تايه، عايز اعرف اقدم اقرار ضريبي صفري؟,Taxes,2
فين اروح علشان شهادة الوفاة بتتعمل فين بالظبط؟,Civil Affairs,0
فين اروح علشان القيد العائلي بياخد وقت قد ايه؟,Civil Affairs,0
عايز اعرف ازاي اترجم قسيمة الزواج رسمي؟,Personal Status,1
ينفع اجدد رخصة عربية متأخرة من سنين؟,Traffic,3
عايز اعرف اعفاءات ضريبة القيمة المضافة على السلع؟,Taxes,2
لو سمحت عايز اعرف البطاقة الضريبية بتاخد قد ايه؟,Taxes,2
انا تايه، عايز اعرف مواعيد تقديم الاقرار الضريبي امتى؟,Taxes,2
عايز اعرف ازاي رسوم توثيق عقد الجواز كام؟,Personal Status,1
ينفع الاقرار الضريبي بيتقدم ازاي اونلاين؟,Taxes,2
فين اروح علشان فين اروح علشان اجدد الرخصة بسرعة؟,Traffic,3
ممكن تقولي ازاي اسجل المركبة اونلاين؟,Traffic,3
ممكن تقولي ازاي اسجل في ضريبة القيمة المضافة؟,Taxes,2
هعمل ايه علشان اقدم طلب طلاق للمحكمة ازاي؟,Personal Status,1
ممكن تقولي ازاي اعدل بيانات في رخصة المركبة؟,Traffic,3
ينفع استخرج قيد فردي؟,Civil Affairs,0
ينفع رسوم رخصة القيادة كام؟,Traffic,3
ينفع اعدل بيانات في القيد الفردي؟,Civil Affairs,0
فين اروح علشان استخرج شهادة وفاة اونلاين؟,Civil Affairs,0
فين اروح علشان انقل ملكية عربية لشخص تاني؟,Traffic,3
لو سمحت عايز اعرف انقل ملكية عربية لشخص تاني؟,Traffic,3
عايز اعرف ازاي رسوم البطاقة الضريبية كام؟,Taxes,2
ينفع اطلق مراتي رسمي ازاي؟,Personal Status,1
لو سمحت عايز اعرف رسوم رخصة السيارة كام؟,Traffic,3
ممكن تقولي ازاي اضيف مولود على القيد العائلي؟,Civil Affairs,0
فين اروح علشان اعدل بيانات تسجيل المركبة؟,Traffic,3
فين اروح علشان اوثق عقد جواز اونلاين؟,Personal Status,1
عايز اعرف ازاي اسجل مركبة مستوردة جديدة؟,Traffic,3
انا محتاج اعدل بيانات غلط في القيد العائلي؟,Civil Affairs,0
ممكن تقولي ازاي اجدد رخصة عربية متأخرة من سنين؟,Traffic,3
عايز اعرف خطوات تجديد الرخصة اونلاين ايه؟,Traffic,3
لو سمحت عايز اعرف القيد الفردي بيتطلب مدة قد ايه؟,Civil Affairs,0
ينفع رسوم القيد العائلي كام؟,Civil Affairs,0
انا محتاج المستندات المطلوبة لتسوية ضريبة الدخل؟,Taxes,2
ممكن تقولي ازاي استخرج البطاقة الضريبية اونلاين؟,Taxes,2
فين اروح علشان رسوم البطاقة الضريبية كام؟,Taxes,2
فين اروح علشان رسوم قسيمة الطلاق كام؟,Personal Status,1
ينفع اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,0
ممكن تقولي ازاي استخرج شهادة وفاة اونلاين؟,Civil Affairs,0
فين اروح علشان استخرج شهادة ميلاد لابني؟,Civil Affairs,0
انا محتاج رسوم رخصة السيارة كام؟,Traffic,3
هعمل ايه علشان عقد الجواز بياخد وقت قد ايه؟,Personal Status,1
انا تايه، عايز اعرف استخرج بطاقة الرقم القومي لأول مرة؟,Civil Affairs,0
هعمل ايه علشان اعرف اقرب مكتب سجل مدني لعمل البطاقة؟,Civil Affairs,0
انا تايه، عايز اعرف استخرج قيد فردي اونلاين؟,Civil Affairs,0
انا تايه، عايز اعرف رسوم قسيمة الطلاق كام؟,Personal Status,1
انا تايه، عايز اعرف استرد ضريبة دخل مخصومة زيادة؟,Taxes,2
لو سمحت عايز اعرف رسوم توثيق الطلاق كام؟,Personal Status,1
انا محتاج احول رخصة قيادة اجنبية لمصرية؟,Traffic,3
هعمل ايه علشان اطلع افادة بالحالة الاجتماعية؟,Personal Status,1
ممكن تقولي ازاي احسب ضريبة الدخل على مرتبي؟,Taxes,2
ينفع اجدد بطاقة الرقم القومي بتاعتي؟,Civil Affairs,0
لو سمحت عايز اعرف اعدل بيانات غلط في قسيمة الطلاق؟,Personal Status,1
ينفع استخرج قسيمة طلاق اونلاين؟,Personal Status,1
انا محتاج المستندات المطلوبة للتسجيل في القيمة المضافة؟,Taxes,2
انا محتاج اعمل ايه لو فاتت مدة تسجيل المولود؟,Civil Affairs,0
انا محتاج رسوم البطاقة الضريبية كام؟,Taxes,2
ممكن تقولي ازاي قسيمة الزواج بتاخد قد ايه؟,Personal Status,1
ممكن حد يفهمني استخرج شهادة وفاة اونلاين؟,Civil Affairs,0
انا محتاج شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,0
فين اروح علشان استرد ضريبة دخل مخصومة زيادة؟,Taxes,2
ممكن حد يفهمني مدة استخراج البطاقة القومي بتاخد قد ايه؟,Civil Affairs,0
ممكن حد يفهمني رسوم توثيق عقد الجواز كام؟,Personal Status,1
فين اروح علشان نسبة ضريبة القيمة المضافة كام؟,Taxes,2
فين اروح علشان اعرف تفاصيل مخالفة برقم اللوحة؟,Traffic,3
ينفع اقدم اقرار القيمة المضافة الشهري؟,Taxes,2
ممكن تقولي ازاي شهادة الميلاد المميكنة فرق ايه عن العادية؟,Civil Affairs,0
لو سمحت عايز اعرف رسوم قسيمة الزواج كام؟,Personal Status,1
فين اروح علشان رسوم استخراج بطاقة الرقم القومي كام؟,Civil Affairs,0
ممكن تقولي ازاي البطاقة الضريبية بتاخد قد ايه؟,Taxes,2
انا تايه، عايز اعرف ضريبة الدخل على العمل الحر بتتحصل ازاي؟,Taxes,2
ممكن تقولي ازاي القيمة المضافة بتتحصل على ايه بالظبط؟,Taxes,2
ينفع المستندات المطلوبة لقسيمة الزواج؟,Personal Status,1
لو سمحت عايز اعرف اطلع بدل فاقد للبطاقة الضريبية؟,Taxes,2
عايز اعرف المستندات المطلوبة لاستخراج القيد العائلي؟,Civil Affairs,0
ممكن تقولي ازاي اتجوز واحدة اجنبية اعمل ايه في الاوراق؟,Personal Status,1
ممكن تقولي ازاي استخرج قسيمة طلاق اونلاين؟,Personal Status,1
ممكن تقولي ازاي استخرج شهادة وفاة لأبويا؟,Civil Affairs,0
هعمل ايه علشان اسجل عربية جديدة في المرور؟,Traffic,3
ممكن تقولي ازاي رسوم قسيمة الزواج كام؟,Personal Status,1
انا محتاج اطلع بدل فاقد للبطاقة الشخصية؟,Civil Affairs,0
ممكن حد يفهمني اجدد الرخصة لمركبة نقل؟,Traffic,3
انا تايه، عايز اعرف اطلع افادة طلاق رسمية؟,Personal Status,1
فين اروح علشان غرامة التأخير في سداد القيمة المضافة كام؟,Taxes,2
عايز اعرف ازاي اسجل عربية جديدة في المرور؟,Traffic,3
هعمل ايه علشان اعدل اقرار القيمة المضافة بعد التقديم؟,Taxes,2
ممكن حد يفهمني استخرج البطاقة الضريبية؟,Taxes,2
انا محتاج اطلع قسيمة طلاق قديمة من الارشيف؟,Personal Status,1
ينفع احول رخصة قيادة اجنبية لمصرية؟,Traffic,3
عايز اعرف رسوم استخراج شهادة الميلاد كام؟,Civil Affairs,0
ممكن حد يفهمني استعلم عن مخالفات عربية مش عربيتي؟,Traffic,3
ممكن تقولي ازاي تجديد الرخصة بياخد وقت قد ايه؟,Traffic,3
فين اروح علشان ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,0
ينفع ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,0
ممكن حد يفهمني ابدل بطاقة الرقم القومي بعد ما اتفقدت؟,Civil Affairs,0
فين اروح علشان شهادة الوفاة لازمة لايه بعد كده؟,Civil Affairs,0
ممكن تقولي ازاي اقسط غرامة مخالفات المرور؟,Traffic,3
هعمل ايه علشان قسيمة الطلاق هتلزمني في ايه بعد كده؟,Personal Status,1
انا محتاج افتح ملف ضريبي لنشاط حر؟,Taxes,2
لو سمحت عايز اعرف اطلق مراتي رسمي ازاي؟,Personal Status,1
